"","x"
"1","ENSMUSG00000076609"
"2","ENSMUSG00000076617"
"3","ENSMUSG00000067149"
"4","ENSMUSG00000020125"
"5","ENSMUSG00000022584"
"6","ENSMUSG00000094345"
"7","ENSMUSG00000024680"
"8","ENSMUSG00000029373"
"9","ENSMUSG00000096108"
"10","ENSMUSG00000001865"
"11","ENSMUSG00000009350"
"12","ENSMUSG00000075370"
"13","ENSMUSG00000025014"
"14","ENSMUSG00000000903"
"15","ENSMUSG00000040314"
"16","ENSMUSG00000069919"
"17","ENSMUSG00000094533"
"18","ENSMUSG00000039109"
"19","ENSMUSG00000024610"
"20","ENSMUSG00000024681"
"21","ENSMUSG00000038179"
"22","ENSMUSG00000050335"
"23","ENSMUSG00000024353"
"24","ENSMUSG00000087050"
"25","ENSMUSG00000059305"
"26","ENSMUSG00000030724"
"27","ENSMUSG00000079339"
"28","ENSMUSG00000029490"
"29","ENSMUSG00000026285"
"30","ENSMUSG00000003379"
"31","ENSMUSG00000004552"
"32","ENSMUSG00000029530"
"33","ENSMUSG00000046080"
"34","ENSMUSG00000097934"
"35","ENSMUSG00000009614"
"36","ENSMUSG00000091008"
"37","ENSMUSG00000096632"
"38","ENSMUSG00000037224"
"39","ENSMUSG00000095859"
"40","ENSMUSG00000015340"
"41","ENSMUSG00000036362"
"42","ENSMUSG00000033170"
"43","ENSMUSG00000091764"
"44","ENSMUSG00000032053"
"45","ENSMUSG00000026153"
"46","ENSMUSG00000037463"
"47","ENSMUSG00000049037"
"48","ENSMUSG00000020990"
"49","ENSMUSG00000068407"
"50","ENSMUSG00000102571"
"51","ENSMUSG00000076937"
"52","ENSMUSG00000046826"
"53","ENSMUSG00000076934"
"54","ENSMUSG00000036782"
"55","ENSMUSG00000044461"
"56","ENSMUSG00000029032"
"57","ENSMUSG00000103151"
"58","ENSMUSG00000027556"
"59","ENSMUSG00000020644"
"60","ENSMUSG00000001507"
"61","ENSMUSG00000035914"
"62","ENSMUSG00000038991"
"63","ENSMUSG00000027848"
"64","ENSMUSG00000087439"
"65","ENSMUSG00000020007"
"66","ENSMUSG00000057895"
"67","ENSMUSG00000032207"
"68","ENSMUSG00000086552"
"69","ENSMUSG00000073535"
"70","ENSMUSG00000034664"
"71","ENSMUSG00000030162"
"72","ENSMUSG00000033295"
"73","ENSMUSG00000096929"
"74","ENSMUSG00000027875"
"75","ENSMUSG00000035042"
"76","ENSMUSG00000022157"
"77","ENSMUSG00000030775"
"78","ENSMUSG00000076434"
"79","ENSMUSG00000049409"
"80","ENSMUSG00000045555"
"81","ENSMUSG00000103472"
"82","ENSMUSG00000025089"
"83","ENSMUSG00000005339"
"84","ENSMUSG00000032915"
"85","ENSMUSG00000006574"
"86","ENSMUSG00000075553"
"87","ENSMUSG00000046818"
"88","ENSMUSG00000024168"
"89","ENSMUSG00000092335"
"90","ENSMUSG00000097924"
"91","ENSMUSG00000086915"
"92","ENSMUSG00000049676"
"93","ENSMUSG00000026548"
"94","ENSMUSG00000030486"
"95","ENSMUSG00000040164"
"96","ENSMUSG00000031517"
"97","ENSMUSG00000036295"
"98","ENSMUSG00000094618"
"99","ENSMUSG00000075590"
"100","ENSMUSG00000021675"
"101","ENSMUSG00000023153"
"102","ENSMUSG00000030149"
"103","ENSMUSG00000063109"
"104","ENSMUSG00000036594"
"105","ENSMUSG00000073421"
"106","ENSMUSG00000044265"
"107","ENSMUSG00000025746"
"108","ENSMUSG00000039209"
"109","ENSMUSG00000097890"
"110","ENSMUSG00000029304"
"111","ENSMUSG00000009941"
"112","ENSMUSG00000030499"
"113","ENSMUSG00000028125"
"114","ENSMUSG00000026765"
"115","ENSMUSG00000015093"
"116","ENSMUSG00000100367"
"117","ENSMUSG00000050677"
"118","ENSMUSG00000053469"
"119","ENSMUSG00000028542"
"120","ENSMUSG00000087014"
"121","ENSMUSG00000042265"
"122","ENSMUSG00000049001"
"123","ENSMUSG00000098424"
"124","ENSMUSG00000076613"
"125","ENSMUSG00000096001"
"126","ENSMUSG00000032487"
"127","ENSMUSG00000070690"
"128","ENSMUSG00000020395"
"129","ENSMUSG00000084466"
"130","ENSMUSG00000047220"
"131","ENSMUSG00000043661"
"132","ENSMUSG00000027579"
"133","ENSMUSG00000036334"
"134","ENSMUSG00000081665"
"135","ENSMUSG00000057173"
"136","ENSMUSG00000068314"
"137","ENSMUSG00000039037"
"138","ENSMUSG00000053063"
"139","ENSMUSG00000003882"
"140","ENSMUSG00000001995"
"141","ENSMUSG00000030165"
"142","ENSMUSG00000001023"
"143","ENSMUSG00000028541"
"144","ENSMUSG00000036206"
"145","ENSMUSG00000045180"
"146","ENSMUSG00000015396"
"147","ENSMUSG00000029811"
"148","ENSMUSG00000074419"
"149","ENSMUSG00000102315"
"150","ENSMUSG00000020473"
"151","ENSMUSG00000087006"
"152","ENSMUSG00000087452"
"153","ENSMUSG00000036655"
"154","ENSMUSG00000064853"
"155","ENSMUSG00000064648"
"156","ENSMUSG00000102133"
"157","ENSMUSG00000054978"
"158","ENSMUSG00000049907"
"159","ENSMUSG00000056656"
"160","ENSMUSG00000018238"
"161","ENSMUSG00000022687"
"162","ENSMUSG00000091387"
"163","ENSMUSG00000087722"
"164","ENSMUSG00000032726"
"165","ENSMUSG00000027800"
"166","ENSMUSG00000008193"
"167","ENSMUSG00000005611"
"168","ENSMUSG00000085601"
"169","ENSMUSG00000026308"
