"","Chromosome","Start","Strand","mean.old","mean.young","mean.diff"
"23","chr1",3216902,"+",0.959459459459459,0.390909090909091,0.568550368550369
"37","chr1",3306207,"+",0.94047619047619,0.392857142857143,0.547619047619048
"85","chr1",3764159,"+",0.76875,0.25,0.51875
"112","chr1",4012157,"+",0.283333333333333,0.784782608695652,-0.501449275362319
"241","chr1",4997012,"+",0.951219512195122,0.438888888888889,0.512330623306233
"286","chr1",5296986,"+",0.194570135746606,0.805555555555556,-0.610985419808949
"311","chr1",5557248,"+",1,0.475,0.525
"363","chr1",5936515,"+",0.892857142857143,0.345454545454545,0.547402597402597
"372","chr1",5989038,"+",0.883870967741936,0.305555555555556,0.57831541218638
"418","chr1",6380271,"+",0.865384615384615,0.272556390977444,0.592828224407172
"502","chr1",7111235,"+",0.970588235294118,0.444444444444444,0.526143790849673
"511","chr1",7168449,"+",0.416666666666667,0.95,-0.533333333333333
"580","chr1",8024892,"+",0.428571428571429,0.933333333333333,-0.504761904761905
"628","chr1",8410896,"+",0.0801282051282051,0.69047619047619,-0.610347985347985
"702","chr1",9099681,"+",0.982758620689655,0.461538461538462,0.521220159151194
"732","chr1",9459476,"+",0.846363636363636,0.282094594594595,0.564269041769042
"752","chr1",9613369,"+",0.466666666666667,1,-0.533333333333333
"775","chr1",9787831,"+",0.173809523809524,0.675,-0.501190476190476
"801","chr1",9917334,"+",0.973684210526316,0.4375,0.536184210526316
"910","chr1",11027294,"+",0.863486842105263,0.293650793650794,0.56983604845447
"1142","chr1",12838487,"+",0.875,0.323529411764706,0.551470588235294
"1179","chr1",12954531,"+",0.944444444444444,0.424342105263158,0.520102339181287
"1205","chr1",13057838,"+",0.6,0.05,0.55
"1326","chr1",13531745,"+",0.639285714285714,0.1,0.539285714285714
"1350","chr1",13649777,"+",0.73,0.15625,0.57375
"1351","chr1",13649793,"+",0.763157894736842,0.214285714285714,0.548872180451128
"1372","chr1",13783064,"+",0.923076923076923,0.368181818181818,0.554895104895105
"1381","chr1",13860102,"+",0.278409090909091,0.781746031746032,-0.503336940836941
"1602","chr1",15678787,"+",0.360714285714286,0.970588235294118,-0.609873949579832
"1603","chr1",15678857,"+",0.335185185185185,0.966666666666667,-0.631481481481482
"1606","chr1",15683538,"+",0.0958333333333333,0.663793103448276,-0.567959770114942
"1650","chr1",16036413,"+",1,0.363095238095238,0.636904761904762
"1651","chr1",16036459,"+",1,0.411255411255411,0.588744588744589
"1664","chr1",16107825,"+",0.349753694581281,0.92530487804878,-0.5755511834675
"1674","chr1",16135033,"+",0.434210526315789,0.966666666666667,-0.532456140350877
"1722","chr1",16399085,"+",0.319327731092437,0.90625,-0.586922268907563
"1754","chr1",16673115,"+",0.947368421052632,0.434659090909091,0.512709330143541
"1851","chr1",17944879,"+",0.972222222222222,0.371527777777778,0.600694444444444
"1862","chr1",18094260,"+",0.849090909090909,0.25,0.599090909090909
"1924","chr1",18961649,"+",1,0.416666666666667,0.583333333333333
"1951","chr1",19087586,"+",0.702380952380952,0.136363636363636,0.566017316017316
"2007","chr1",19416179,"+",0.95,0.3625,0.5875
"2017","chr1",19505943,"+",0.365740740740741,0.866666666666667,-0.500925925925926
"2020","chr1",19514194,"+",0.878571428571429,0.377647058823529,0.500924369747899
"2056","chr1",19839165,"+",1,0.495454545454545,0.504545454545455
"2087","chr1",20199469,"+",0.370454545454545,0.933333333333333,-0.562878787878788
"2197","chr1",20817302,"+",0.75,0.241071428571429,0.508928571428571
"2199","chr1",20835681,"+",0.980769230769231,0.428571428571429,0.552197802197802
"2265","chr1",21077387,"+",0.916666666666667,0.410906298003072,0.505760368663595
"2266","chr1",21077432,"+",0.947368421052632,0.440217391304348,0.507151029748284
"2333","chr1",21500312,"+",0.115384615384615,0.7,-0.584615384615385
"2395","chr1",22268861,"+",0.808712121212121,0.25,0.558712121212121
"2399","chr1",22321142,"+",0.966666666666667,0.4,0.566666666666667
"2413","chr1",22421991,"+",0.944444444444444,0.408333333333333,0.536111111111111
